Kp,Kd,episode,reward,mse,mae,control_cost,Max_error,final_error,settling_time,terminated,truncated,target,final_x,final_xdot
0.0,0.0,22,-4.493649938062224,0.008982349776408896,0.08526508208044106,0.0,0.13407985866069794,0.10768602043390274,500,False,True,0.0,-0.10409302,0.3592997
0.0,0.0,23,-46.47648442064305,0.09296083089340124,0.2743741926610237,0.0,0.4325273633003235,0.4247971177101135,500,False,True,0.0,0.42794853,0.31514075
0.0,0.0,24,-23.542605518388015,0.047104372159758705,0.19527860433212482,0.0,0.30755814909935,0.2661477327346802,500,False,True,0.0,0.2726284,0.64806426
0.0,0.0,25,-28.299003186324338,0.05659485281005923,0.21408395665115676,0.0,0.33750247955322266,0.33683982491493225,500,False,True,0.0,0.33744195,0.060211472
0.0,0.0,26,-119.04368580863944,0.238059978295204,0.4390824564123759,0.0,0.6921690106391907,0.6921488642692566,500,False,True,0.0,-0.69174767,0.0401182
0.0,0.0,27,-3.5003728268319216,0.007002643088285453,0.0752985658767284,0.0,0.11866312474012375,0.11072023212909698,500,False,True,0.0,-0.112479456,-0.17592224
0.0,0.0,28,-49.817241636133,0.09964682063433511,0.2840738866617903,0.0,0.4477888345718384,0.4364684522151947,500,False,True,0.0,0.440423,0.3954581
0.0,0.0,29,-163.75202633330247,0.3275361796328504,0.5150113838373218,0.0,0.8118704557418823,0.7954137325286865,500,False,True,0.0,0.80176014,0.6346406
0.0,0.0,30,-205.72111421351437,0.41149771537090246,0.5772572176249232,0.0,0.9099498391151428,0.8848223686218262,500,False,True,0.0,0.89325595,0.8433559
0.0,0.0,31,-119.28614646229872,0.23859316350738433,0.43956255436106584,0.0,0.6929341554641724,0.6802014112472534,500,False,True,0.0,0.6853291,0.51276445
0.0,0.0,32,-207.43521728916613,0.4149173583890665,0.5796627153678564,0.0,0.9137521386146545,0.8926275372505188,500,False,True,0.0,0.9003104,0.76828647
0.0,0.0,33,-115.4911289863339,0.2310133936699109,0.43251808219333177,0.0,0.681792676448822,0.6629748940467834,500,False,True,0.0,0.66929215,0.6317265
0.0,0.0,34,-12.132762243213913,0.02426169017717467,0.14016968516807538,0.0,0.22095835208892822,0.22084982693195343,500,False,True,0.0,0.22033638,-0.051343873
0.0,0.0,35,-19.239140754453306,0.03848062053213241,0.1765292883433285,0.0,0.27828842401504517,0.2743825316429138,500,False,True,0.0,-0.2761506,-0.17680818
0.0,0.0,36,-79.93920463385084,0.15990669285245152,0.3598453454191331,0.0,0.5671945214271545,0.5458791851997375,500,False,True,0.0,-0.5520877,-0.620857
0.0,0.0,37,-150.7280603744228,0.30148034952563113,0.49411467473150694,0.0,0.7789243459701538,0.7655589580535889,500,False,True,0.0,0.7711056,0.5546651
